	date	province	PRcode	total_doses_administered	total_fully_vaccinated	total_1st_dose	daily_1st_dose	total_only_1st_dose	pct_pop_total_only_first	pct_pop_total_first	pct_pop_total_second	pct_pop_total_tot	pct_5plus_only_first	pct_5plus_first	pct_5plus_second	pct_5plus_tot
4743	2021-08-02	Northwest Territories	NT	63564	30497	33067	0.0	2570	5.739169271996427	73.84323358642251	68.10406431442608	141.94729790084858	6.148028988554739	79.10384224301148	72.95581325445676	152.05965549746824
4744	2021-08-03	Northwest Territories	NT	63564	30497	33067	0.0	2570	5.739169271996427	73.84323358642251	68.10406431442608	141.94729790084858	6.148028988554739	79.10384224301148	72.95581325445676	152.05965549746824
4745	2021-08-04	Northwest Territories	NT	64296	30999	33297	230.0	2298	5.131755247878518	74.35685573916928	69.22510049129076	143.58195623046	5.4973426520228745	79.65405495404947	74.15671230202659	153.81076725607605
4746	2021-08-05	Northwest Territories	NT	64296	30999	33297	0.0	2298	5.131755247878518	74.35685573916928	69.22510049129076	143.58195623046	5.4973426520228745	79.65405495404947	74.15671230202659	153.81076725607605
4747	2021-08-06	Northwest Territories	NT	64296	30999	33297	0.0	2298	5.131755247878518	74.35685573916928	69.22510049129076	143.58195623046	5.4973426520228745	79.65405495404947	74.15671230202659	153.81076725607605
4748	2021-08-07	Northwest Territories	NT	64296	30999	33297	0.0	2298	5.131755247878518	74.35685573916928	69.22510049129076	143.58195623046	5.4973426520228745	79.65405495404947	74.15671230202659	153.81076725607605
4749	2021-08-08	Northwest Territories	NT	64296	30999	33297	0.0	2298	5.131755247878518	74.35685573916928	69.22510049129076	143.58195623046	5.4973426520228745	79.65405495404947	74.15671230202659	153.81076725607605
4750	2021-08-09	Northwest Territories	NT	64296	30999	33297	0.0	2298	5.131755247878518	74.35685573916928	69.22510049129076	143.58195623046	5.4973426520228745	79.65405495404947	74.15671230202659	153.81076725607605
4751	2021-08-10	Northwest Territories	NT	64729	31283	33446	149.0	2163	4.830281375614113	74.68959356855738	69.85931219294328	144.5489057615007	5.174391712935369	80.01049710163494	74.83610538869956	154.8466024903345
4752	2021-08-11	Northwest Territories	NT	64729	31283	33446	0.0	2163	4.830281375614113	74.68959356855738	69.85931219294328	144.5489057615007	5.174391712935369	80.01049710163494	74.83610538869956	154.8466024903345
4753	2021-08-12	Northwest Territories	NT	64729	31283	33446	0.0	2163	4.830281375614113	74.68959356855738	69.85931219294328	144.5489057615007	5.174391712935369	80.01049710163494	74.83610538869956	154.8466024903345
4754	2021-08-13	Northwest Territories	NT	64729	31283	33446	0.0	2163	4.830281375614113	74.68959356855738	69.85931219294328	144.5489057615007	5.174391712935369	80.01049710163494	74.83610538869956	154.8466024903345
4755	2021-08-14	Northwest Territories	NT	64729	31283	33446	0.0	2163	4.830281375614113	74.68959356855738	69.85931219294328	144.5489057615007	5.174391712935369	80.01049710163494	74.83610538869956	154.8466024903345
4756	2021-08-15	Northwest Territories	NT	64729	31283	33446	0.0	2163	4.830281375614113	74.68959356855738	69.85931219294328	144.5489057615007	5.174391712935369	80.01049710163494	74.83610538869956	154.8466024903345
4757	2021-08-16	Northwest Territories	NT	65467	31756	33711	265.0	1955	4.365788298347477	75.28137561411344	70.91558731576598	146.1969629298794	4.676808043822768	80.64443783391782	75.96762979009505	156.61206762401287
