	date	province	PRcode	total_doses_administered	total_fully_vaccinated	total_1st_dose	daily_1st_dose	total_only_1st_dose	pct_pop_total_only_first	pct_pop_total_first	pct_pop_total_second	pct_pop_total_tot	pct_12plus_only_first	pct_12plus_first	pct_12plus_second	pct_12plus_tot
107	2020-05-11	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
108	2020-05-12	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
109	2020-05-13	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
110	2020-05-14	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
111	2020-05-15	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
112	2020-05-16	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
113	2020-05-17	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
114	2020-05-18	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
115	2020-05-19	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
116	2020-05-20	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
117	2020-05-21	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
118	2020-05-22	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
119	2020-05-23	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
120	2020-05-24	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
121	2020-05-25	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
122	2020-05-26	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
123	2020-05-27	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
124	2020-05-28	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
125	2020-05-29	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
126	2020-05-30	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
